parameter_case,experiment_no,aqueous_charge_residual,x_RLi_exp,x_RNa_exp,x_RLi_calc_from_paper_K,x_RNa_calc_from_paper_K,x_RLi_abs_error_from_paper_K,x_RNa_abs_error_from_paper_K,lnQ_Li_at_exp,lnQ_Na_at_exp,lnQ_minus_lnK_Li,lnQ_minus_lnK_Na,gamma_H2O,gamma_Li_plus,gamma_Na_plus,gamma_OH_minus,gamma_DES,gamma_RLi,gamma_RNa,paper_K_fixed_point_iterations,paper_K_fixed_point_final_delta,source
published_table8_table9,1,-2.9999914819629943e-07,0.0047236018894407554,0.01517600607040243,8.799394146263144e-12,2.826851409173278e-11,0.004723601880641361,0.015176006042133915,14.930901389721987,12.825259184071712,34.46076004244725,40.31860749487519,1.0001038765315597,0.8311571279153406,0.7760230265753062,0.7045209005503011,1.4195081116537653,0.5244326977866222,0.06566120109096679,29,5.6535028183465556e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,2,-3.9999890425932404e-07,0.004442696890112177,0.014027990180406874,8.276167811869042e-12,2.61301678629925e-11,0.004442696881836009,0.014027990154276707,14.91194187128956,12.825373501176388,34.44180052401482,40.31872181197986,1.0000959133550802,0.83111281246049,0.7760488654185115,0.7047192135209356,1.3823231255838015,0.541656601884211,0.07047730129051905,29,5.2258335725984995e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,3,-3.1999837645554485e-07,0.0021288046833703033,0.007319016101835424,7.931415434275952e-12,2.7266459678450318e-11,0.0021288046754388877,0.007319016074568964,11.75337888028937,9.656620374749984,31.283237533014628,37.14996868555346,1.0000709330924809,0.8283356787759104,0.7747848975396838,0.7059328439345748,1.3850198888043008,0.5127838316653837,0.060617451324776264,28,5.453091935690063e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,4,-2.999984719277964e-07,0.0035709182116828793,0.011974061067711443,1.3303706970579473e-11,4.460785352873222e-11,0.003570918198379172,0.01197406102310359,12.352053158750687,10.277665079406965,31.881911811475945,37.77101339021044,1.0001116104660317,0.8284967708647379,0.7745928293104364,0.7049147517642966,1.393207285985018,0.526429783832586,0.0655449530266094,28,8.921370705746445e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,5,-2.9999914819629943e-07,0.005766128254028445,0.01839909015554176,1.0741250822207788e-11,3.427197602848105e-11,0.005766128243287194,0.018399090121269782,13.982944155142365,10.724538332515852,33.51280280786762,38.21788664331933,1.0001169485417467,0.8312016094929716,0.7759572768396987,0.704202898177779,3.527744442572406,0.336765727007303,0.013444852103890225,29,6.85419520569621e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,6,-3.9999890425737247e-07,0.005103497448251276,0.019836990081504958,9.507004766095944e-12,3.695027335065595e-11,0.005103497438744271,0.019836990044554685,13.85047685433792,10.852918856540143,33.38033550706318,38.34626716734362,1.000120240567916,0.8313802981248499,0.7760827313807016,0.7040841645993094,3.501748686038974,0.33821654678967555,0.013829430512233402,29,7.389854670131191e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,7,-3.999980025691432e-07,0.003438099656190034,0.01577199842280016,6.404959647173126e-12,2.9378636355905154e-11,0.0034380996497850747,0.015771998393421523,11.063754363428298,8.153657381568204,30.593613016153558,35.64700569237168,1.0001164532858706,0.8287029772398592,0.7747288638332785,0.7047507042929129,3.610542120938826,0.3288118295247253,0.012426522063188903,29,5.875527271181032e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,8,-3.999980025702274e-07,0.0045411040869936786,0.019958017962216166,8.459465499789787e-12,3.7175705345584386e-11,0.004541104078534213,0.01995801792504046,11.459587563001532,8.611471003406102,30.989446215726794,36.10481931420958,1.0001535129406278,0.8288873716870092,0.7745871364122783,0.7038202527698105,3.4358602241266367,0.3377468650185514,0.014077424003365474,29,7.434941069116878e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,9,5.000001803232706e-07,0.005118020472081889,0.039428157712630856,4.767528002993101e-12,3.672133335327157e-11,0.005118020467314361,0.03942815767590952,14.732098039517576,13.062641183304509,34.26195669224283,40.55598949410798,0.9956621900738829,1.0473595979404038,0.9123538518097156,0.7511437008952411,1.464052230305545,0.5655994193901607,0.09051216402000156,30,7.344066670654315e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,10,-1.0000009606752486e-07,0.004734710889835046,0.035273081128086595,4.410543135980188e-12,3.285161673082932e-11,0.004734710885424503,0.03527308109523498,14.60390597885541,12.835714228295487,34.13376463158067,40.32906253909896,0.9955950315862554,1.0470111776186157,0.912379374826938,0.7520477438396258,1.470197539187009,0.5516989468727731,0.08328474590581529,30,6.570123346165865e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,11,7.999998451213054e-07,0.003114809967391896,0.025112080358657148,5.802785676536888e-12,4.677589466714886e-11,0.00311480996158911,0.025112080311881252,11.810192061875094,10.029368839500366,31.340050714600352,37.52271715030384,0.9955038395759015,1.044199376374308,0.9111271021217091,0.7534668449506363,1.443950168880714,0.534740608143319,0.07358920479283973,29,9.354978933429773e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,12,2.168404344971009e-18,0.004263073995248628,0.03074281246884394,3.971297049030316e-12,2.8632475259403643e-11,0.004263073991277331,0.030742812440211466,12.175169030334253,10.311744839344405,31.705027683059512,37.80509315014788,0.9955949992187721,1.044483592051321,0.9109465905010564,0.7522700258307979,1.464717254080087,0.5419888622544616,0.0779197180819607,30,5.726295051880728e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,13,5.000001803198012e-07,0.005206722388906272,0.03876916670741684,4.850138100543313e-12,3.610760015364721e-11,0.005206722384056134,0.03876916667130924,13.542561595875153,10.614708180470139,33.07242024860041,38.108056491273615,0.9955917454953312,1.0470060054193884,0.9123877031710976,0.7520886454496689,3.7966658950670356,0.3694228160603198,0.017500042729837247,30,7.221320030729443e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,14,-1.0000009606448909e-07,0.004819317831475977,0.03635713452139773,4.4893394906995605e-12,3.386122012810849e-11,0.004819317826986637,0.03635713448753651,13.444796287835931,10.513459508593,32.974654940561194,38.00680781939648,0.9955587202322154,1.046867224755656,0.9124273851185474,0.7525280040301817,3.759254313950947,0.3648677759181044,0.016962219979596627,30,6.772044025621699e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,15,3.0357660829594124e-18,0.004737189578182928,0.03721491812718012,4.412851594394006e-12,3.4660093364308697e-11,0.004737189573770077,0.037214918092520026,11.139095374373545,8.256355282616871,30.668954027098806,35.74970359342035,0.9956202784686955,1.0446889201423286,0.9109963658312258,0.7519128161206807,3.7580353895165444,0.3661269878232483,0.017194826683511313,30,6.93181867286174e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,16,5.000000531992649e-07,0.005113780567633843,0.040399846480583375,4.763579284266423e-12,3.762628903836605e-11,0.0051137805628702635,0.040399846442957084,11.227884268103443,8.365284614166448,30.757742920828704,35.858632924969925,0.9956636485351489,1.044898800314597,0.9109668624597839,0.7513290096624066,3.857088443265422,0.37203215142410045,0.0176961885258618,30,7.525057807673211e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,17,8.000012776017418e-07,0.004182904601195061,0.021296023425625768,7.792266965109969e-12,3.96679347316488e-11,0.004182904593402794,0.021296023385957832,12.842170480166907,10.215073549219847,32.372029132892166,37.70842186002332,0.9985541095631403,0.9184882808374378,0.8303513945762868,0.7212321713077017,2.1303636021070096,0.3789367470261078,0.027148357038251986,29,7.933386946329761e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,18,7.000011879028205e-07,0.004374108310805791,0.02149404083867759,8.148411627331359e-12,4.003677090553304e-11,0.004374108302657379,0.02149404079864082,12.907793448305105,10.252593124931133,32.437652101030366,37.74594143573461,0.9985602584600227,0.9184832957629095,0.8303129602641437,0.7211332448155117,2.1130360758970546,0.38118592811171526,0.02766965167213662,29,8.007154181106609e-11,Rezaee2025_SI_TablesS1_S2
published_table8_table9,19,-9.99997739710087e-08,0.004443004443004443,0.025266025266025265,8.276740673771954e-12,4.7062639402106896e-11,0.004443004434727703,0.025266025218962627,15.206035084443958,12.726487104075117,34.73589373716922,40.219835414878595,0.9984285728134121,0.9264498373962208,0.8352867342171115,0.7223834728353602,2.1527109213102538,0.3851903471326294,0.02861133520620093,29,9.41232788042138e-11,Rezaee2025_SI_TablesS1_S2
