SITEID,LATITUDE,LONGITUDE,mtype,Li,Li_pred,pred_dif,ras_pred,rpred_dif
58220,32.9992,-92.9641,train,116,103.8,12.2,-99,-99
17343,32.999856,-92.98273573,train,111,100.7,10.3,-99,-99
58226,33.0022,-92.9761,train,101,101,0,-99,-99
59997,33.009,-93.317,train,12,20.4,-8.4,-99,-99
60395,33.009,-93.317,train,0.39,35.9,-35.5,-99,-99
115212,33.02270646,-93.06036905,train,24,49.3,-25.3,86,-63
BR-4,33.04938887,-92.63355897,train,242,229.9,12.1,227,-15
45887,33.0497,-92.985,train,34,73.1,-39.1,83,49
17342,33.05087813,-92.96178398,train,103,84.1,18.9,82,-21
17341,33.05199574,-92.99623015,train,110,93.2,16.8,77,-33
115235,33.05418905,-93.48109734,train,102,91.9,10.1,88,-14
17339,33.05650607,-93.17133483,train,102,96.5,5.5,97,-5
17338,33.05705529,-93.18839267,train,117,99.9,17.1,96,-21
17337,33.06217392,-93.39437676,train,44,72,-28,82,38
17335,33.06506522,-93.51424732,train,74,85,-11,93,19
BR-5,33.0726,-92.65089,train,232,228,4,221,-11
45882,33.0764,-93.5809,train,91,84,7,78,-13
17334,33.08055936,-93.54802258,train,110,96,14,85,-25
17292,33.1270635,-92.6402891,train,179,162.1,16.9,170,-9
BR-2,33.13541,-92.94994,train,252,235.1,16.9,218,-34
17333,33.1364123,-92.31300958,train,53,55,-2,63,10
115223,33.14431,-92.7248,train,172,178.9,-6.9,181,9
ST-1,33.15130995,-92.27663002,train,6.77,17.3,-10.5,37,30.23
45893,33.155,-92.818,train,170,177.6,-7.6,179,9
17271,33.156235,-93.0996599,train,269,243.1,25.9,271,2
45906,33.1573,-93.089,train,277,261.6,15.4,278,1
45888,33.1605,-92.809,train,140,142,-2,149,9
45889,33.1607,-92.811,train,125,141.7,-16.7,149,24
115214,33.16278187,-93.18596471,train,214,220.3,-6.3,316,102
DM-4,33.164105,-93.303363,train,24,35.1,-11.1,223,199
45907,33.1655,-93.1182,train,260,248.8,11.2,245,-15
DM-7,33.16578262,-93.29488747,train,23,71.4,-48.4,227,204
46087,33.166,-93.106,train,118,189.1,-71.1,245,127
46086,33.166,-93.106,train,225,202.7,22.3,245,20
45892,33.1674,-92.7607,train,180,172.4,7.6,157,-23
17274,33.1694146,-93.0474697,train,223,219.4,3.6,221,-2
17273,33.169864,-93.0646371,train,228,220.4,7.6,232,4
17272,33.1703773,-93.0818773,train,165,167.2,-2.2,214,49
DM-6,33.17161995,-93.33769002,train,109,93.3,15.7,250,141
17287,33.1721944,-92.7610259,train,169,162.4,6.6,146,-23
DM-2,33.17333374,-93.32046306,train,11.1,27.2,-16.1,228,216.9
17281,33.17447163,-92.88777115,train,172,180.9,-8.9,181,9
DM-3,33.17749995,-93.32351002,train,15.8,29.6,-13.8,228,212.2
DM-5-DUP,33.18184528,-93.39197854,train,97.4,100.6,-3.2,290,192.6
DM-5,33.18184528,-93.39197854,train,105,100.6,4.4,290,185
115211,33.18381444,-92.87466858,train,175,177.2,-2.2,185,10
17275,33.1839631,-93.0468551,train,227,215.1,11.9,221,-6
115210,33.185954,-92.870857,train,159,175,-16,185,26
17286,33.1868462,-92.7779778,train,144,148.1,-4.1,154,10
45355,33.1869,-93.2162,train,403,320.6,82.4,296,-107
45874,33.1879,-93.2054,train,80,248.8,-168.8,296,216
46088,33.188,-93.18,train,282,312.5,-30.5,286,4
BR-6,33.18803556,-92.85734536,train,178,185.6,-7.6,183,5
17261,33.1925323,-93.406477,train,338,310.1,27.9,304,-34
17262,33.1925323,-93.406477,train,316,310.5,5.5,304,-12
17279,33.1932459,-92.9027188,train,186,195,-9,219,33
45899,33.1943,-93.2286,train,445,396.4,48.6,325,-120
46071,33.195,-93.194,train,382,363.4,18.6,300,-82
45900,33.195,-93.194,train,365,347.4,17.6,300,-65
45351,33.1975,-93.2008,train,378,352,26,300,-78
45903,33.1998,-93.1811,train,440,364,76,346,-94
17288,33.2008795,-92.743406,train,105,111.2,-6.2,118,13
45905,33.2019,-93.1659,train,343,352,-9,346,3
17282,33.2030788,-92.8304582,train,107,114.4,-7.4,147,40
45352,33.2037,-93.2295,train,412,390.5,21.5,378,-34
17283,33.2042833,-92.8478243,train,109,123.6,-14.6,160,51
45904,33.2043,-93.1748,train,391,373.5,17.5,346,-45
45354,33.2072,-93.1547,train,331,285.9,45.1,335,4
45350,33.2087,-93.2043,train,367,350.1,16.9,372,5
45909,33.2106,-93.1757,train,331,348.4,-17.4,346,15
BR-1,33.210634,-92.805588,train,84.1,138.7,-54.6,117,32.9
45897,33.212,-92.3752,train,35,36.4,-1.4,36,1
17289,33.2153595,-92.7434277,train,72,82.9,-10.9,108,36
