stage,variable,value,units,prommis_idaes_use,status
1,li_stage_extraction_pct,47.2846085852254,percent,"MSContactor.transfer[Li,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,na_stage_extraction_pct,0.013111805874858998,percent,"MSContactor.transfer[Na,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,li_cumulative_extraction_pct,47.284608585225406,percent,flowsheet.recovery[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,D_Li,0.8969791803911921,dimensionless,distribution_ratio[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,S_Li_Na,6840.107142998455,dimensionless,"selectivity[Li,Na]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,Li_raffinate_mg_L,88.56185757682132,mg/L,stage.raffinate[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
1,Li_extract_mg_L_org,79.43814242317868,mg/L organic,stage.extract[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,li_stage_extraction_pct,80.22457355348538,percent,"MSContactor.transfer[Li,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,na_stage_extraction_pct,0.022260965573107257,percent,"MSContactor.transfer[Na,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,li_cumulative_extraction_pct,89.57530654477898,percent,flowsheet.recovery[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,D_Li,4.056780963508621,dimensionless,distribution_ratio[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,S_Li_Na,18219.685357200906,dimensionless,"selectivity[Li,Na]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,Li_raffinate_mg_L,17.513485004771322,mg/L,stage.raffinate[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
2,Li_extract_mg_L_org,71.04837257205,mg/L organic,stage.extract[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,li_stage_extraction_pct,99.9999,percent,"MSContactor.transfer[Li,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,na_stage_extraction_pct,0.08066060427276618,percent,"MSContactor.transfer[Na,stage]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,li_cumulative_extraction_pct,99.99998957530654,percent,flowsheet.recovery[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,D_Li,999998.999945047,dimensionless,distribution_ratio[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,S_Li_Na,1238761355.332831,dimensionless,"selectivity[Li,Na]",calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,Li_raffinate_mg_L,1.7513485005733742e-05,mg/L,stage.raffinate[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
3,Li_extract_mg_L_org,17.513467491286317,mg/L organic,stage.extract[Li],calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
