analyte,n_reported,n_censored,min,median,max,units,status,notes
FeTot,13,7,0.398,0.486,48.0,mg/L,reported_with_censoring_as_thresholds,"Censored values were converted to numeric thresholds only for screening summaries; use source rows for exact analytical flags."
Mn,13,1,0.335,4.86,54.0,mg/L,reported_with_censoring_as_thresholds,"Censored values were converted to numeric thresholds only for screening summaries; use source rows for exact analytical flags."
Zn,13,9,0.284,0.32,105.0,mg/L,reported_with_censoring_as_thresholds,"Censored values were converted to numeric thresholds only for screening summaries; use source rows for exact analytical flags."
Al,13,13,0.374,0.732,0.811,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
As,13,13,0.156,0.305,0.338,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Be,13,13,0.0218,0.0427,0.0473,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Cd,13,9,0.0187,0.0385,0.142,mg/L,reported_with_censoring_as_thresholds,"Censored values were converted to numeric thresholds only for screening summaries; use source rows for exact analytical flags."
Co,13,13,0.0624,0.122,0.135,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Cu,13,13,0.0624,0.122,0.135,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Cr,13,13,0.025,0.241,0.27,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Hg,13,13,0.125,0.244,0.27,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Mo,13,13,0.125,0.244,0.27,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Ni,13,13,0.0936,0.183,0.203,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
Pb,13,10,0.25,0.5,11.7,mg/L,reported_with_censoring_as_thresholds,"Censored values were converted to numeric thresholds only for screening summaries; use source rows for exact analytical flags."
U,13,13,0.936,1.83,2.03,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
V,13,13,0.0624,0.122,0.135,mg/L,reported_with_censoring_as_thresholds,"All clean-row values are censored in the local file; treat as threshold information, not measured concentration."
DIC,13,0,4.821,11.71,29.1,mg/L,reported,"Dissolved inorganic carbon field retained because it may affect pretreatment and speciation assumptions."
NPOC,13,0,2.266,13.99,27.73,mg/L,reported,"Non-purgeable organic carbon field retained because organic matter can affect pretreatment and extraction."
Acetate,10,1,1.0,6.970000000000001,26.96,mg/L,reported_with_censoring_as_thresholds,"Acetate is missing in some rows; one censored row converted to threshold for screening summary only."
La,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Ce,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Pr,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Nd,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Sm,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Eu,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Gd,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Tb,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Dy,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Ho,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Er,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Tm,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Yb,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Lu,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Y,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
Sc,0,0,not_reported,not_reported,not_reported,mg/L,not_reported_in_local_usgs_file,"REE not present in local southern-Arkansas Smackover source table."
